time_stamp,data_value
1726037730.923847,1.000000
1726037730.933908,1.000000
1726037730.944040,1.000000
1726037730.954109,1.000000
1726037730.964174,1.000000
1726037730.974234,1.000000
1726037730.984298,1.000000
1726037730.994370,1.000000
1726037731.004425,1.000000
1726037731.014504,1.000000
1726037731.024555,1.000000
1726037731.034607,1.000000
1726037731.044678,1.000000
1726037731.054749,1.000000
1726037731.064811,1.000000
1726037731.074886,1.000000
1726037731.085008,1.000000
1726037731.095049,1.000000
1726037731.105111,1.000000
1726037731.115172,1.000000
1726037731.125233,1.000000
1726037731.135303,1.000000
1726037731.145361,1.000000
1726037731.155422,1.000000
1726037731.165450,1.000000
1726037731.175507,1.000000
1726037731.185569,1.000000
1726037731.195633,1.000000
1726037731.205693,1.000000
1726037731.215763,1.000000
1726037731.225825,1.000000
1726037731.235917,1.000000
1726037731.245970,1.000000
1726037731.256022,1.000000
1726037731.266088,1.000000
1726037731.276140,1.000000
1726037731.286199,1.000000
1726037731.296256,1.000000
1726037731.306315,1.000000
1726037731.316421,1.000000
1726037731.326469,1.000000
1726037731.336528,1.000000
1726037731.346589,1.000000
1726037731.356651,1.000000
1726037731.366709,1.000000
1726037731.376805,1.000000
1726037731.386854,1.000000
1726037731.396894,1.000000
1726037731.406960,1.000000
1726037731.417022,1.000000
1726037731.427080,1.000000
1726037731.437152,1.000000
1726037731.447209,1.000000
1726037731.457271,1.000000
1726037731.467330,1.000000
1726037731.477407,1.000000
1726037731.487470,1.000000
1726037731.497533,1.000000
1726037731.507597,1.000000
1726037731.517660,1.000000
1726037731.527727,1.000000
1726037731.537792,1.000000
1726037731.547862,1.000000
1726037731.557925,1.000000
1726037731.567998,1.000000
1726037731.578075,1.000000
1726037731.588142,1.000000
1726037731.598207,1.000000
1726037731.608270,1.000000
1726037731.618355,1.000000
1726037731.628406,1.000000
1726037731.638486,1.000000
1726037731.648546,1.000000
1726037731.658603,1.000000
1726037731.668659,1.000000
1726037731.678725,1.000000
1726037731.688787,1.000000
1726037731.698846,1.000000
1726037731.708952,1.000000
1726037731.719059,1.000000
1726037731.729112,1.000000
1726037731.739195,1.000000
1726037731.749278,1.000000
1726037731.759335,1.000000
1726037731.769408,1.000000
1726037731.779466,1.000000
1726037731.789529,1.000000
1726037731.799600,1.000000
1726037731.809660,1.000000
1726037731.819724,1.000000
1726037731.829788,1.000000
1726037731.839851,1.000000
1726037731.849914,1.000000
1726037731.859975,1.000000
1726037731.870034,1.000000
1726037731.880098,1.000000
1726037731.890168,1.000000
1726037731.900233,1.000000
1726037731.910312,1.000000
1726037731.920369,1.000000
1726037731.930435,1.000000
1726037731.940500,1.000000
1726037731.950563,1.000000
1726037731.961002,1.000000
1726037731.971068,1.000000
1726037731.981170,1.000000
1726037731.991195,1.000000
1726037732.001259,1.000000
1726037732.011326,1.000000
1726037732.021386,1.000000
1726037732.031451,1.000000
1726037732.041522,1.000000
1726037732.051583,1.000000
1726037732.061640,1.000000
1726037732.071808,1.000000
1726037732.081836,1.000000
1726037732.091896,1.000000
1726037732.101966,1.000000
1726037732.112016,1.000000
1726037732.122094,1.000000
1726037732.132140,1.000000
1726037732.142227,1.000000
1726037732.152278,1.000000
1726037732.162337,1.000000
1726037732.172411,1.000000
1726037732.182466,1.000000
1726037732.192523,1.000000
1726037732.202588,1.000000
1726037732.212651,1.000000
1726037732.222707,1.000000
1726037732.232770,1.000000
1726037732.242839,1.000000
1726037732.252903,1.000000
1726037732.262958,1.000000
1726037732.273023,1.000000
1726037732.283077,1.000000
1726037732.293140,1.000000
1726037732.303201,1.000000
1726037732.313262,1.000000
1726037732.323341,1.000000
1726037732.333407,1.000000
1726037732.343462,1.000000
1726037732.353698,1.000000
1726037732.363756,1.000000
1726037732.373849,1.000000
1726037732.383904,1.000000
1726037732.393967,1.000000
1726037732.403998,1.000000
1726037732.414177,1.000000
1726037732.424232,1.000000
1726037732.434316,1.000000
1726037732.444365,1.000000
1726037732.454433,1.000000
1726037732.464491,1.000000
1726037732.474560,1.000000
1726037732.484616,1.000000
1726037732.494674,1.000000
1726037732.504748,1.000000
1726037732.514815,1.000000
1726037732.524873,1.000000
1726037732.534911,1.000000
1726037732.544971,1.000000
1726037732.555024,1.000000
1726037732.565110,1.000000
1726037732.575167,1.000000
1726037732.585231,1.000000
1726037732.595294,1.000000
1726037732.605349,1.000000
1726037732.615409,1.000000
1726037732.625423,1.000000
1726037732.635489,1.000000
1726037732.645550,1.000000
1726037732.655607,1.000000
1726037732.665673,1.000000
1726037732.675732,1.000000
1726037732.685788,1.000000
1726037732.695848,1.000000
1726037732.705928,1.000000
1726037732.715972,1.000000
1726037732.726031,1.000000
1726037732.736098,1.000000
1726037732.746170,1.000000
1726037732.756230,1.000000
1726037732.766272,1.000000
1726037732.776325,1.000000
1726037732.786381,1.000000
1726037732.796443,1.000000
1726037732.806510,1.000000
1726037732.816564,1.000000
1726037732.826627,1.000000
1726037732.836776,1.000000
1726037732.846781,1.000000
1726037732.856836,1.000000
1726037732.866897,1.000000
1726037732.877027,1.000000
1726037732.887059,1.000000
1726037732.897155,1.000000
1726037732.907209,1.000000
1726037732.917280,1.000000
1726037732.927349,1.000000
1726037732.937411,1.000000
1726037732.947502,1.000000
1726037732.957572,1.000000
1726037732.967625,1.000000
1726037732.977699,1.000000
1726037732.987778,1.000000
1726037732.997838,1.000000
1726037733.007901,1.000000
1726037733.017957,1.000000
1726037733.028013,1.000000
1726037733.038076,1.000000
1726037733.048141,1.000000
1726037733.058199,1.000000
1726037733.068269,1.000000
1726037733.078326,1.000000
1726037733.088386,1.000000
1726037733.098443,1.000000
1726037733.108531,1.000000
1726037733.118593,1.000000
1726037733.128653,1.000000
1726037733.138726,1.000000
1726037733.149523,1.000000
1726037733.159591,1.000000
1726037733.169656,1.000000
1726037733.179719,1.000000
1726037733.189785,1.000000
1726037733.199847,1.000000
1726037733.209909,1.000000
1726037733.220001,1.000000
1726037733.230040,1.000000
1726037733.240100,1.000000
1726037733.250191,1.000000
1726037733.260243,1.000000
1726037733.270309,1.000000
1726037733.280372,1.000000
1726037733.290434,1.000000
1726037733.300497,1.000000
1726037733.310555,1.000000
1726037733.320620,1.000000
1726037733.330678,1.000000
1726037733.340745,1.000000
1726037733.350803,1.000000
1726037733.360868,1.000000
1726037733.370939,1.000000
1726037733.380990,1.000000
1726037733.391064,1.000000
1726037733.401128,1.000000
1726037733.411137,1.000000
1726037733.421201,1.000000
1726037733.431261,1.000000
1726037733.441338,1.000000
1726037733.451398,1.000000
1726037733.461471,1.000000
1726037733.471524,1.000000
1726037733.481582,1.000000
1726037733.491627,1.000000
1726037733.501689,1.000000
1726037733.511755,1.000000
1726037733.521812,1.000000
1726037733.531872,1.000000
1726037733.541945,1.000000
1726037733.552024,1.000000
1726037733.562075,1.000000
1726037733.572144,1.000000
1726037733.582203,1.000000
1726037733.592263,1.000000
1726037733.602327,1.000000
1726037733.612390,1.000000
1726037733.622452,1.000000
1726037733.632519,1.000000
1726037733.642585,1.000000
1726037733.652644,1.000000
1726037733.662698,1.000000
1726037733.672764,1.000000
1726037733.682835,1.000000
1726037733.692899,1.000000
1726037733.702963,1.000000
1726037733.713038,1.000000
1726037733.723093,1.000000
1726037733.733239,1.000000
1726037733.743268,1.000000
1726037733.753322,1.000000
1726037733.763382,1.000000
1726037733.773443,1.000000
1726037733.783509,1.000000
1726037733.793574,1.000000
1726037733.803638,1.000000
1726037733.813696,1.000000
1726037733.823779,1.000000
1726037733.833845,1.000000
1726037733.843901,1.000000
1726037733.853962,1.000000
1726037733.864000,1.000000
1726037733.874060,1.000000
1726037733.884130,1.000000
1726037733.894188,1.000000
1726037733.904255,1.000000
1726037733.914314,1.000000
1726037733.924374,1.000000
1726037733.934431,1.000000
1726037733.944496,1.000000
1726037733.954571,1.000000
1726037733.964635,1.000000
1726037733.974694,1.000000
1726037733.984785,1.000000
1726037733.994852,1.000000
1726037734.004909,1.000000
1726037734.014969,1.000000
1726037734.025039,1.000000
1726037734.035114,1.000000
1726037734.045198,1.000000
1726037734.055267,1.000000
1726037734.065318,1.000000
1726037734.075386,1.000000
1726037734.085437,1.000000
1726037734.095503,1.000000
1726037734.105685,1.000000
1726037734.115737,1.000000
1726037734.125800,1.000000
1726037734.135863,1.000000
1726037734.145935,1.000000
1726037734.156002,1.000000
1726037734.166062,1.000000
1726037734.176126,1.000000
1726037734.186190,1.000000
1726037734.196250,1.000000
1726037734.206310,1.000000
1726037734.216367,1.000000
1726037734.226427,1.000000
1726037734.236493,1.000000
1726037734.246599,1.000000
1726037734.256653,1.000000
1726037734.266717,1.000000
1726037734.276777,1.000000
1726037734.286830,1.000000
1726037734.296921,1.000000
1726037734.306977,1.000000
1726037734.317040,1.000000
1726037734.327099,1.000000
1726037734.337165,1.000000
1726037734.347216,1.000000
1726037734.357276,1.000000
1726037734.367344,1.000000
1726037734.377417,1.000000
1726037734.387471,1.000000
1726037734.397534,1.000000
1726037734.407591,1.000000
1726037734.417651,1.000000
1726037734.427770,1.000000
1726037734.437834,1.000000
1726037734.447885,1.000000
1726037734.457961,1.000000
1726037734.468014,1.000000
1726037734.478025,1.000000
1726037734.488082,1.000000
1726037734.498144,1.000000
1726037734.508225,1.000000
1726037734.518292,1.000000
1726037734.528362,1.000000
1726037734.538428,1.000000
1726037734.548480,1.000000
1726037734.558542,1.000000
1726037734.568618,1.000000
1726037734.578721,1.000000
1726037734.588753,1.000000
1726037734.598815,1.000000
1726037734.608880,1.000000
1726037734.618946,1.000000
1726037734.629042,1.000000
1726037734.639103,1.000000
1726037734.649164,1.000000
1726037734.659226,1.000000
1726037734.669297,1.000000
1726037734.679360,1.000000
1726037734.689421,1.000000
1726037734.699478,1.000000
1726037734.709552,1.000000
1726037734.719613,1.000000
1726037734.729670,1.000000
1726037734.739733,1.000000
1726037734.749791,1.000000
1726037734.759854,1.000000
1726037734.769943,1.000000
1726037734.780073,1.000000
1726037734.790109,1.000000
1726037734.800178,1.000000
1726037734.810237,1.000000
1726037734.820297,1.000000
1726037734.830369,1.000000
1726037734.840429,1.000000
1726037734.850491,1.000000
1726037734.860551,1.000000
1726037734.870614,1.000000
1726037734.880685,1.000000
1726037734.890748,1.000000
1726037734.900797,1.000000
1726037734.910860,1.000000
1726037734.920926,1.000000
1726037734.930985,1.000000
1726037734.941074,1.000000
1726037734.951112,1.000000
1726037734.961172,1.000000
1726037734.971244,1.000000
1726037734.981453,1.000000
1726037734.991523,1.000000
1726037735.001585,1.000000
1726037735.011652,1.000000
1726037735.021708,1.000000
1726037735.031763,1.000000
1726037735.041825,1.000000
1726037735.051895,1.000000
1726037735.061953,1.000000
1726037735.071995,1.000000
1726037735.082065,1.000000
1726037735.092124,1.000000
1726037735.102183,1.000000
1726037735.112242,1.000000
1726037735.122301,1.000000
1726037735.132377,1.000000
1726037735.142444,1.000000
1726037735.152481,1.000000
1726037735.162546,1.000000
1726037735.172610,1.000000
1726037735.182683,1.000000
1726037735.192747,1.000000
1726037735.202801,1.000000
1726037735.212867,1.000000
1726037735.222920,1.000000
1726037735.232981,1.000000
1726037735.243065,1.000000
1726037735.253111,1.000000
1726037735.263166,1.000000
1726037735.273232,1.000000
1726037735.283299,1.000000
1726037735.293364,1.000000
1726037735.303418,1.000000
1726037735.313477,1.000000
1726037735.323535,1.000000
1726037735.333600,1.000000
1726037735.343661,1.000000
1726037735.353730,1.000000
1726037735.363802,1.000000
1726037735.373860,1.000000
1726037735.383922,1.000000
1726037735.394027,1.000000
1726037735.404078,1.000000
1726037735.414139,1.000000
1726037735.424198,1.000000
1726037735.434258,1.000000
1726037735.444319,1.000000
1726037735.454379,1.000000
1726037735.464447,1.000000
1726037735.474507,1.000000
1726037735.484575,1.000000
1726037735.494644,1.000000
1726037735.504710,1.000000
1726037735.514765,1.000000
1726037735.524837,1.000000
1726037735.534903,1.000000
1726037735.544965,1.000000
1726037735.554986,1.000000
1726037735.565024,1.000000
1726037735.575083,1.000000
1726037735.585156,1.000000
1726037735.595219,1.000000
1726037735.605279,1.000000
1726037735.615347,1.000000
