time_stamp,latitude,longitude,height,speed,sensor_time_counter
1726037730.933743,35.45175880,139.63635209,42.623251,nan,0
1726037730.943562,35.45175880,139.63635209,42.622594,nan,0
1726037730.953746,35.45175880,139.63635210,42.621910,nan,0
1726037730.962218,35.45175880,139.63635210,42.621207,nan,0
1726037730.972037,35.45175880,139.63635211,42.620489,nan,0
1726037730.982387,35.45175879,139.63635212,42.619748,nan,0
1726037730.992234,35.45175879,139.63635213,42.618991,nan,0
1726037731.002422,35.45175879,139.63635214,42.618235,nan,0
1726037731.014768,35.45175878,139.63635215,42.617473,nan,0
1726037731.023385,35.45175878,139.63635216,42.616701,nan,0
1726037731.033655,35.45175877,139.63635218,42.615933,nan,0
1726037731.046801,35.45175887,139.63635322,42.622237,nan,0
1726037731.053738,35.45175887,139.63635324,42.621501,nan,0
1726037731.063265,35.45175886,139.63635326,42.620773,nan,0
1726037731.072017,35.45175885,139.63635328,42.620060,nan,0
1726037731.082252,35.45175884,139.63635331,42.619370,nan,0
1726037731.092516,35.45175883,139.63635333,42.618720,nan,0
1726037731.102194,35.45175882,139.63635336,42.618104,nan,0
1726037731.113931,35.45175881,139.63635339,42.617502,nan,0
1726037731.123741,35.45175879,139.63635343,42.616911,nan,0
1726037731.133588,35.45175878,139.63635346,42.616355,nan,0
1726037731.143740,35.45175876,139.63635350,42.615844,nan,0
1726037731.153919,35.45175875,139.63635353,42.615373,nan,0
1726037731.163894,35.45175873,139.63635357,42.614932,nan,0
1726037731.172162,35.45175872,139.63635361,42.614512,nan,0
1726037731.182077,35.45175870,139.63635366,42.614123,nan,0
1726037731.192200,35.45175868,139.63635370,42.613780,nan,0
1726037731.202391,35.45175866,139.63635375,42.613477,nan,0
1726037731.213765,35.45175864,139.63635380,42.613198,nan,0
1726037731.223907,35.45175862,139.63635385,42.612942,nan,0
1726037731.233759,35.45175860,139.63635391,42.612717,nan,0
1726037731.243622,35.45175857,139.63635396,42.612524,nan,0
1726037731.253953,35.45175855,139.63635402,42.612357,nan,0
1726037731.263046,35.45175853,139.63635408,42.612209,nan,0
1726037731.272329,35.45175850,139.63635414,42.612078,nan,0
1726037731.282160,35.45175847,139.63635420,42.611970,nan,0
1726037731.292099,35.45175845,139.63635426,42.611889,nan,0
1726037731.302194,35.45175842,139.63635433,42.611822,nan,0
1726037731.313878,35.45175839,139.63635440,42.611754,nan,0
1726037731.323725,35.45175836,139.63635447,42.611686,nan,0
1726037731.333890,35.45175833,139.63635454,42.611626,nan,0
1726037731.343534,35.45175830,139.63635461,42.611572,nan,0
1726037731.353701,35.45175827,139.63635469,42.611519,nan,0
1726037731.362375,35.45175823,139.63635477,42.611461,nan,0
1726037731.372306,35.45175820,139.63635484,42.611390,nan,0
1726037731.382324,35.45175817,139.63635493,42.611309,nan,0
1726037731.391900,35.45175813,139.63635501,42.611220,nan,0
1726037731.402317,35.45175810,139.63635509,42.611120,nan,0
1726037731.413669,35.45175806,139.63635518,42.611005,nan,0
1726037731.423797,35.45175802,139.63635527,42.610879,nan,0
1726037731.433824,35.45175798,139.63635536,42.610738,nan,0
1726037731.443308,35.45175794,139.63635545,42.610584,nan,0
1726037731.453823,35.45175790,139.63635554,42.610409,nan,0
1726037731.462858,35.45175786,139.63635564,42.610214,nan,0
1726037731.472328,35.45175782,139.63635573,42.610004,nan,0
1726037731.482168,35.45175778,139.63635583,42.609781,nan,0
1726037731.492002,35.45175774,139.63635593,42.609551,nan,0
1726037731.502110,35.45175769,139.63635603,42.609311,nan,0
1726037731.514420,35.45175765,139.63635614,42.609043,nan,0
1726037731.525075,35.45175760,139.63635624,42.608760,nan,0
1726037731.536572,35.45175745,139.63635621,42.627558,nan,0
1726037731.543845,35.45175741,139.63635632,42.627300,nan,0
1726037731.553317,35.45175736,139.63635643,42.627041,nan,0
1726037731.562296,35.45175731,139.63635654,42.626760,nan,0
1726037731.572154,35.45175726,139.63635665,42.626469,nan,0
1726037731.582376,35.45175721,139.63635677,42.626191,nan,0
1726037731.592376,35.45175716,139.63635689,42.625946,nan,0
1726037731.601884,35.45175711,139.63635700,42.625715,nan,0
1726037731.613936,35.45175706,139.63635712,42.625462,nan,0
1726037731.623666,35.45175701,139.63635725,42.625189,nan,0
1726037731.633919,35.45175696,139.63635737,42.624930,nan,0
1726037731.643642,35.45175690,139.63635749,42.624714,nan,0
1726037731.653479,35.45175685,139.63635762,42.624525,nan,0
1726037731.662218,35.45175680,139.63635775,42.624330,nan,0
1726037731.672413,35.45175674,139.63635787,42.624123,nan,0
1726037731.682483,35.45175668,139.63635801,42.623921,nan,0
1726037731.692167,35.45175663,139.63635814,42.623752,nan,0
1726037731.701910,35.45175657,139.63635827,42.623606,nan,0
1726037731.713664,35.45175651,139.63635840,42.623446,nan,0
1726037731.723956,35.45175645,139.63635854,42.623275,nan,0
1726037731.733671,35.45175639,139.63635868,42.623116,nan,0
1726037731.743913,35.45175634,139.63635881,42.622983,nan,0
1726037731.754350,35.45175628,139.63635895,42.622855,nan,0
1726037731.762555,35.45175621,139.63635909,42.622702,nan,0
1726037731.772511,35.45175615,139.63635924,42.622529,nan,0
1726037731.782247,35.45175609,139.63635938,42.622368,nan,0
1726037731.792335,35.45175603,139.63635952,42.622243,nan,0
1726037731.802210,35.45175597,139.63635967,42.622129,nan,0
1726037731.813494,35.45175590,139.63635982,42.621975,nan,0
1726037731.823763,35.45175584,139.63635996,42.621775,nan,0
1726037731.833998,35.45175577,139.63636011,42.621576,nan,0
1726037731.843755,35.45175571,139.63636026,42.621413,nan,0
1726037731.853929,35.45175564,139.63636042,42.621267,nan,0
1726037731.862336,35.45175558,139.63636057,42.621099,nan,0
1726037731.872176,35.45175551,139.63636072,42.620897,nan,0
1726037731.882420,35.45175544,139.63636088,42.620677,nan,0
1726037731.892210,35.45175537,139.63636104,42.620473,nan,0
1726037731.902343,35.45175530,139.63636119,42.620286,nan,0
1726037731.913345,35.45175524,139.63636135,42.620088,nan,0
1726037731.923924,35.45175517,139.63636151,42.619862,nan,0
1726037731.933752,35.45175510,139.63636167,42.619626,nan,0
1726037731.944834,35.45175502,139.63636184,42.619394,nan,0
1726037731.953898,35.45175495,139.63636200,42.619165,nan,0
1726037731.961725,35.45175488,139.63636216,42.618928,nan,0
1726037731.972359,35.45175481,139.63636233,42.618676,nan,0
1726037731.982167,35.45175474,139.63636250,42.618413,nan,0
1726037731.992385,35.45175466,139.63636266,42.618153,nan,0
1726037732.002179,35.45175459,139.63636283,42.617898,nan,0
1726037732.015207,35.45175451,139.63636300,42.617637,nan,0
1726037732.023274,35.45175444,139.63636317,42.617364,nan,0
1726037732.033886,35.45175436,139.63636335,42.617087,nan,0
1726037732.046953,35.45175444,139.63636425,42.624356,nan,0
1726037732.053732,35.45175436,139.63636442,42.624077,nan,0
1726037732.062420,35.45175428,139.63636460,42.623793,nan,0
1726037732.071813,35.45175420,139.63636477,42.623502,nan,0
1726037732.082385,35.45175412,139.63636495,42.623207,nan,0
1726037732.092246,35.45175405,139.63636513,42.622906,nan,0
