timestamp_seconds,car_pose_front_axle_x_meters,car_pose_front_axle_y_meters,car_pose_yaw_degrees
1726037730.923182,-111.452,287.883,-118.052
1726037730.933743,-111.452,287.882,-118.053
1726037730.943562,-111.452,287.882,-118.053
1726037730.953746,-111.452,287.882,-118.050
1726037730.972037,-111.453,287.881,-118.054
1726037730.972037,-111.453,287.881,-118.054
1726037730.982387,-111.453,287.880,-118.054
1726037731.002422,-111.454,287.878,-118.053
1726037731.002422,-111.454,287.878,-118.053
1726037731.002422,-111.454,287.878,-118.053
1726037731.023385,-111.455,287.876,-118.054
1726037731.033655,-111.456,287.874,-118.052
1726037731.046801,-111.445,287.780,-118.058
1726037731.053738,-111.445,287.778,-118.057
1726037731.063265,-111.447,287.774,-118.058
1726037731.082252,-111.448,287.772,-118.056
1726037731.092516,-111.449,287.769,-118.056
1726037731.102194,-111.451,287.767,-118.056
1726037731.102194,-111.451,287.767,-118.056
1726037731.102194,-111.451,287.767,-118.056
1726037731.123741,-111.453,287.761,-118.056
1726037731.143740,-111.457,287.755,-118.055
1726037731.153919,-111.458,287.751,-118.055
1726037731.163894,-111.460,287.748,-118.055
1726037731.172162,-111.462,287.744,-118.054
1726037731.182077,-111.464,287.740,-118.054
1726037731.192200,-111.466,287.736,-118.055
1726037731.202391,-111.468,287.731,-118.055
1726037731.213765,-111.470,287.727,-118.055
1726037731.223907,-111.473,287.722,-118.055
1726037731.223907,-111.473,287.722,-118.055
1726037731.243622,-111.478,287.713,-118.055
1726037731.243622,-111.478,287.713,-118.055
1726037731.263046,-111.483,287.702,-118.056
1726037731.272329,-111.486,287.697,-118.056
1726037731.282160,-111.489,287.691,-118.057
1726037731.292099,-111.492,287.685,-118.058
1726037731.302194,-111.495,287.679,-118.058
1726037731.313878,-111.498,287.673,-118.059
1726037731.323725,-111.502,287.667,-118.060
1726037731.333890,-111.505,287.660,-118.060
1726037731.333890,-111.505,287.660,-118.060
1726037731.353701,-111.512,287.647,-118.061
1726037731.362375,-111.516,287.640,-118.062
1726037731.372306,-111.519,287.632,-118.062
1726037731.382324,-111.523,287.625,-118.062
1726037731.391900,-111.527,287.618,-118.062
1726037731.402317,-111.531,287.610,-118.062
1726037731.413669,-111.535,287.602,-118.062
1726037731.423797,-111.539,287.594,-118.063
1726037731.433824,-111.544,287.586,-118.063
1726037731.443308,-111.548,287.578,-118.065
1726037731.453823,-111.552,287.569,-118.061
1726037731.462858,-111.557,287.561,-118.063
1726037731.482168,-111.566,287.543,-118.063
1726037731.492002,-111.571,287.534,-118.066
1726037731.492002,-111.571,287.534,-118.066
1726037731.502110,-111.576,287.525,-118.064
1726037731.514420,-111.581,287.515,-118.064
1726037731.525075,-111.586,287.506,-118.067
1726037731.536572,-111.602,287.509,-118.066
1726037731.543845,-111.608,287.499,-118.072
1726037731.562296,-111.618,287.479,-118.074
1726037731.572154,-111.624,287.469,-118.076
1726037731.572154,-111.624,287.469,-118.076
1726037731.592376,-111.635,287.448,-118.082
