time_stamp,data_value
1726037730.923847,2.310000
1726037730.933908,0.220000
1726037730.944040,0.220000
1726037730.954109,0.440000
1726037730.964174,0.440000
1726037730.974234,-0.230000
1726037730.984298,-0.230000
1726037730.994370,-0.760000
1726037731.004425,-0.760000
1726037731.014504,-0.740000
1726037731.024555,-0.740000
1726037731.034607,-0.470000
1726037731.044678,-0.470000
1726037731.054749,-0.230000
1726037731.064811,-0.230000
1726037731.074886,-0.040000
1726037731.085008,-0.040000
1726037731.095049,-0.050000
1726037731.105111,-0.050000
1726037731.115172,-0.060000
1726037731.125233,-0.060000
1726037731.135303,-0.060000
1726037731.145361,-0.060000
1726037731.155422,-0.060000
1726037731.165450,-0.060000
1726037731.175507,-0.050000
1726037731.185569,-0.050000
1726037731.195633,-0.050000
1726037731.205693,-0.050000
1726037731.215763,-0.050000
1726037731.225825,-0.050000
1726037731.235917,-0.050000
1726037731.245970,-0.050000
1726037731.256022,-0.050000
1726037731.266088,-0.050000
1726037731.276140,-0.040000
1726037731.286199,-0.040000
1726037731.296256,-0.040000
1726037731.306315,-0.040000
1726037731.316421,-0.040000
1726037731.326469,-0.040000
1726037731.336528,-0.040000
1726037731.346589,-0.040000
1726037731.356651,-0.030000
1726037731.366709,-0.030000
1726037731.376805,-0.030000
1726037731.386854,-0.030000
1726037731.396894,-0.020000
1726037731.406960,-0.020000
1726037731.417022,-0.040000
1726037731.427080,-0.040000
1726037731.437152,-3.670000
1726037731.447209,-3.670000
1726037731.457271,-3.670000
1726037731.467330,-5.230000
1726037731.477407,-5.230000
1726037731.487470,-6.990000
1726037731.497533,-6.990000
1726037731.507597,-7.330000
1726037731.517660,-7.330000
1726037731.527727,-6.940000
1726037731.537792,-6.940000
1726037731.547862,-6.240000
1726037731.557925,-6.240000
1726037731.567998,-5.690000
1726037731.578075,-5.690000
1726037731.588142,-5.690000
1726037731.598207,-5.320000
1726037731.608270,-5.390000
1726037731.618355,-5.390000
1726037731.628406,-5.390000
1726037731.638486,-7.710000
1726037731.648546,-7.710000
1726037731.658603,-7.700000
1726037731.668659,-9.670000
1726037731.678725,-9.670000
1726037731.688787,-9.670000
1726037731.698846,-11.250000
1726037731.708952,-11.260000
1726037731.719059,-11.260000
1726037731.729112,-11.430000
1726037731.739195,-11.430000
1726037731.749278,-11.260000
1726037731.759335,-11.260000
1726037731.769408,-9.880000
1726037731.779466,-9.880000
