fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig-Phi_0,sig-Phi_1,sig-Intent_R,data-Intent_R-test_result,data-Intent_R-stat_value,data-Intent_R-low_level_indicator_value,sig-Intent_F,data-Intent_F-test_result,data-Intent_F-stat_value,data-Intent_F-low_level_indicator_value,sig-Intent_L,data-Intent_L-test_result,data-Intent_L-stat_value,data-Intent_L-low_level_indicator_value,sig-DWB_0,data-DWB_0-test_result,data-DWB_0-stat_value,data-DWB_0-low_level_indicator_value,sig-DWB_1,data-DWB_1-test_result,data-DWB_1-stat_value,data-DWB_1-low_level_indicator_value,sig-RWB_0,data-RWB_0-test_result,data-RWB_0-stat_value,data-RWB_0-low_level_indicator_value,sig-RWB_1,data-RWB_1-test_result,data-RWB_1-stat_value,data-RWB_1-low_level_indicator_value,data-RWB_1-reached_waiting_box,data-RWB_1-hit_point_x_ego_frame,data-RWB_1-hit_point_y_ego_frame,data-RWB_1-distance,sig-CEWB_0,data-CEWB_0-test_result,data-CEWB_0-stat_value,data-CEWB_0-low_level_indicator_value,sig-CEWB_1,data-CEWB_1-test_result,data-CEWB_1-stat_value,data-CEWB_1-low_level_indicator_value,sig-ENLI_1,data-ENLI_1-test_result,data-ENLI_1-stat_value,data-ENLI_1-low_level_indicator_value,data-ENLI_1-stop_line_under_the_ego,data-ENLI_1-distance_from_ego_to_nearest_SL,data-ENLI_1-distance_from_rear_to_nearest_SL,data-ENLI_1-hit_point_x_ego_frame,data-ENLI_1-hit_point_y_ego_frame,sig-HALF_EXLI_1,data-HALF_EXLI_1-test_result,data-HALF_EXLI_1-stat_value,data-HALF_EXLI_1-low_level_indicator_value,data-HALF_EXLI_1-crosswalk_under_the_ego,data-HALF_EXLI_1-zebra_hit,data-HALF_EXLI_1-empty_crosswalk_hit,sig-FULL_EXLI_1,data-FULL_EXLI_1-total_stages,data-FULL_EXLI_1-current_stage,data-FULL_EXLI_1-waiting_for_up_state,data-FULL_EXLI_1-last_evaluation,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,sig-RIF_0,data-RIF_0-test_result,data-RIF_0-stat_value,data-RIF_0-low_level_indicator_value,sig-RIF_1,data-RIF_1-test_result,data-RIF_1-stat_value,data-RIF_1-low_level_indicator_value
1731635522.107369,Intersection,1731635521.669672,1731635521.941185,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.140996,IntersectionApproaching,1731635521.669672,1731635522.004389,0,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,38.221397,41.000546,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.174400,IntersectionApproaching,1731635521.809694,1731635522.004389,0,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,38.221397,41.000546,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.207757,IntersectionApproaching,1731635521.809694,1731635522.004389,0,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,38.221397,41.000546,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.241153,IntersectionApproaching,1731635521.809694,1731635522.004389,0,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,38.221397,41.000546,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.274612,IntersectionApproaching,1731635521.935331,1731635522.004389,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,38.221397,41.000546,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.307879,IntersectionApproaching,1731635521.935331,1731635522.145034,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.782299,39.561676,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.341515,IntersectionApproaching,1731635521.935331,1731635522.145034,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.782299,39.561676,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.374657,IntersectionApproaching,1731635521.935331,1731635522.145034,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.782299,39.561676,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.408058,IntersectionApproaching,1731635522.078027,1731635522.145034,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.782299,39.561676,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.441466,IntersectionApproaching,1731635522.078027,1731635522.270842,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.620033,39.398659,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.474958,IntersectionApproaching,1731635522.078027,1731635522.270842,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.620033,39.398659,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.508244,IntersectionApproaching,1731635522.078027,1731635522.270842,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,36.620033,39.398659,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.541776,IntersectionApproaching,1731635522.267981,1731635522.403605,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,35.343773,38.123375,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.575212,IntersectionApproaching,1731635522.267981,1731635522.403605,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,35.343773,38.123375,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731635522.608604,IntersectionApproaching,1731635522.267981,1731635522.403605,0,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,35.343773,38.123375,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
