fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig-Phi_0,sig-Phi_1,sig-Intent_R,sig-Intent_F,sig-Intent_L,sig-DWB_0,sig-DWB_1,sig-RWB_0,sig-RWB_1,data-RWB_1-reached_waiting_box,data-RWB_1-hit_point_x_ego_frame,data-RWB_1-hit_point_y_ego_frame,data-RWB_1-distance,sig-CEWB_0,sig-CEWB_1,sig-ENLI_1,data-ENLI_1-stop_line_under_the_ego,data-ENLI_1-distance_from_ego_to_nearest_SL,data-ENLI_1-distance_from_rear_to_nearest_SL,data-ENLI_1-hit_point_x_ego_frame,data-ENLI_1-hit_point_y_ego_frame,sig-HALF_EXLI_1,data-HALF_EXLI_1-crosswalk_under_the_ego,data-HALF_EXLI_1-zebra_hit,data-HALF_EXLI_1-empty_crosswalk_hit,data-HALF_EXLI_1-second_stage,data-HALF_EXLI_1-required_num_sequential_hits,data-HALF_EXLI_1-registered_num_sequential_hits,sig-FULL_EXLI_1,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,sig-RIF_0,sig-RIF_1
1729486470.976964,Intersection,1729486470.802843,1729486470.875712,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.010517,IntersectionApproaching,1729486470.869170,1729486470.940599,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.755171,14.533069,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.043856,IntersectionApproaching,1729486470.869170,1729486470.940599,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.755171,14.533069,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.077255,IntersectionApproaching,1729486470.933755,1729486471.005335,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.527528,14.305367,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.110620,IntersectionApproaching,1729486470.933755,1729486471.005335,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.527528,14.305367,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.144359,IntersectionApproaching,1729486471.000103,1729486471.070365,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.357608,14.135392,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.177689,IntersectionApproaching,1729486471.000103,1729486471.070365,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.357608,14.135392,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.211185,IntersectionApproaching,1729486471.065053,1729486471.142658,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.227315,14.005046,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.244699,IntersectionApproaching,1729486471.065053,1729486471.142658,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.227315,14.005046,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.278049,IntersectionApproaching,1729486471.136765,1729486471.206367,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,11.142413,13.920104,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
