fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig_Phi-0,sig_Phi-1,sig_Intent-R,sig_Intent-F,sig_Intent-L,sig_DWB-0,sig_DWB-1,sig_RWB-0,sig_RWB-1,data_RWB-1_reached-waiting-box,data_RWB-1_hit-point-x-ego-frame,data_RWB-1_hit-point-y-ego-frame,data_RWB-1_distance,sig_CEWB-0,sig_CEWB-1,sig_ENLI-1,data_ENLI-1_stop-line-under-the-ego,data_ENLI-1_distance-from-ego-to-nearest-SL,data_ENLI-1_distance-from-rear-to-nearest-SL,data_ENLI-1_hit-point-x-ego-frame,data_ENLI-1_hit-point-y-ego-frame,sig_HALF-EXLI-1,data_HALF-EXLI-1_crosswalk-under-the-ego,data_HALF-EXLI-1_zebra-hit,data_HALF-EXLI-1_empty-crosswalk-hit,data_HALF-EXLI-1_second-stage,data_HALF-EXLI-1_required-num-sequential-hits,data_HALF-EXLI-1_registered-num-sequential-hits,sig_FULL-EXLI-1,data_FULL-EXLI-1_crosswalk-under-the-ego,data_FULL-EXLI-1_zebra-hit,data_FULL-EXLI-1_empty-crosswalk-hit,data_FULL-EXLI-1_second-stage,data_FULL-EXLI-1_required-num-sequential-hits,data_FULL-EXLI-1_registered-num-sequential-hits,data_FULL-EXLI-1_crosswalk-under-the-ego,data_FULL-EXLI-1_zebra-hit,data_FULL-EXLI-1_empty-crosswalk-hit,data_FULL-EXLI-1_second-stage,data_FULL-EXLI-1_required-num-sequential-hits,data_FULL-EXLI-1_registered-num-sequential-hits,sig_RIF-0,sig_RIF-1
1729486465.477806,Intersection,1729486465.270818,1729486465.405399,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.511206,IntersectionApproaching,1729486465.400497,1729486465.474777,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,56.142071,53.439835,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.544696,IntersectionApproaching,1729486465.400497,1729486465.474777,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,56.142071,53.439835,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.578072,IntersectionApproaching,1729486465.400497,1729486465.474777,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,56.142071,53.439835,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.611488,IntersectionApproaching,1729486465.469976,1729486465.541708,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,56.121773,53.629528,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.644741,IntersectionApproaching,1729486465.469976,1729486465.605953,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,55.833355,53.821880,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.678154,IntersectionApproaching,1729486465.536897,1729486465.605953,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,55.833355,53.821880,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.711540,IntersectionApproaching,1729486465.600168,1729486465.605953,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,55.833355,53.821880,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.744924,IntersectionApproaching,1729486465.600168,1729486465.605953,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,55.833355,53.821880,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486465.778395,IntersectionApproaching,1729486465.600168,1729486465.605953,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,55.833355,53.821880,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
